Beer Name,Style,ABV,IBU,,,,
Budweiser,Other,0.0500,12,,,,
Corona,Other,0.0455,18,,,,
Aguila,Other,0.0400,20,,,,
Bogota,Other,0.0500,39,,,,
Brahma,Other,0.0480,,,,,
Cass,Other,0.0450,,,,,
Castle,Other,0.0500,21,,,,
Cusquena,Other,0.0500,25,,,,
Eagle,Other,0.0360,,,,,
Harbin,Other,0.0360,,,,,
Haywards,Other,0.0530,20,,,,
Hero,Other,0.0520,,,,,
Hoegaarden,Ale,0.0490,15,,,,
Jupiler,Other,0.0520,25,,,,
Lubalt Blue,Other,0.0470,12,,,,
Leffe,Ale,0.0660,20,,,,
Patagonia,IPA,0.0520,18,,,,
Quilmes,Ale,0.0490,12,,,,
SalvaVida,Other,0.0480,,,,,
Skol,Other,0.0470,,,,,
Victoria,Other,0.0400,,,,,
Wals Brut,IPA,0.1100,35,,,,
Stella Artois,Other,0.0520,24,,,,
Beck's Blue,IPA,0.0030,12,,,,
Bogota Beer Company,Other,0.0500,,,,,
Boxing Cat,IPA,0.0630,62,,,,
Bud Light,Other,0.0420,6,,,,
